Indiv,circ10504,circ1057,circ12095,circ12207,circ12297,circ12861,circ13522,circ13670,circ14091,circ14192,circ14478,circ14544,circ15905,circ16286,circ16822,circ16827,circ17231,circ17403,circ17406,circ17411,circ17606,circ17709,circ18268,circ18608,circ18795,circ19323,circ196,circ20012,circ202,circ20464,circ206,circ2066,circ20873,circ21294,circ21473,circ217,circ22417,circ22526,circ22965,circ246,circ25503,circ26539,circ2748,circ27587,circ3279,circ3518,circ364,circ3752,circ4215,circ4735,circ5511,circ5522,circ5918,circ5960,circ5999,circ6066,circ6877,circ7177,circ7852,circ8487
AT45_FC,0.0243,0.0971,0.1214,0.0243,0.2185,0.1699,0.1457,0.0243,0.0971,0.1699,0.0728,0.1214,0.2428,0.0971,0.0486,0,0.0486,0.0243,0.0486,0.0971,0.0243,0,0.0243,0,0,0.1457,0,0.0971,0.0243,0.1214,0,0.0486,0,0.0486,0,0.0728,0.0486,0.0486,0,0.2428,0.1699,0.0971,0.0486,0,0,0.1942,0.0486,0,0,0.0728,0.0486,0.1699,0.0243,0.0728,0,0.0486,0.0243,0,0,0.0243
AT9_FC,0.0234,0.0467,0,0,0.0467,0,0,0.0701,0,0.0234,0.0234,0.0701,0.0934,0.0467,0.0467,0,0.0234,0,0.0467,0.0467,0.2335,0.0234,0,0.0234,0.0234,0.0934,0,0.0234,0.0234,0,0,0.0234,0.1868,0.0467,0,0,0.0234,0,0,0.4204,0.3737,0.0934,0.0467,0,0,0.0234,0,0,0,0.0234,0,0.3503,0,0.0234,0,0,0,0,0.0934,0
AT9_TC,0.0174,0.157,0.0349,0,0.0698,0.0523,0.0349,0.0174,0.0349,0.0349,0,0.0349,0,0.0523,0.0523,0.0349,0.0349,0.0174,0.0872,0.0523,0,0.0174,0.0174,0.0174,0.0174,0.0698,0.0174,0.0349,0,0.0174,0.0349,0.0174,0.0349,0.0523,0,0.0174,0.0174,0.0349,0.0349,0.2442,0.0698,0.0698,0,0.0349,0.0174,0.1046,0,0,0,0,0,0.1221,0.0523,0,0.0349,0.0174,0,0.0523,0.0174,0.0349
CT10_TC,0.0197,0.0591,0.0197,0,0.1181,0,0.0394,0,0.0394,0.0197,0,0.0394,0.1378,0.0984,0.0394,0.0197,0.0591,0.0197,0.0984,0,0.0394,0,0.0197,0.0394,0.0394,0.2166,0.0197,0.0197,0.0591,0.0197,0.0394,0,0,0,0.0984,0.0984,0.0394,0.0394,0.0394,0.7482,0.256,0.0984,0.0394,0,0,0.1181,0.0197,0.0591,0.0591,0.1378,0.1378,0.1969,0.0197,0,0.0788,0.1181,0.1378,0.0394,0.1772,0.0591
CT11_FC,0.0105,0.0419,0,0.0105,0.0419,0.0105,0,0.0105,0.0629,0.021,0,0.0419,0.0419,0.0314,0,0.021,0.021,0,0.0314,0.0314,0,0.0105,0.0105,0.0629,0.021,0.0105,0,0,0,0.0419,0.021,0.021,0.1362,0,0.1048,0.0314,0.0105,0.021,0.0314,0.0943,0.0105,0.021,0.0105,0.0105,0,0.1257,0.0105,0,0.0314,0.0524,0.021,0.1467,0.021,0.0314,0,0.0419,0,0,0.0105,0.0314
CT11_TC,0.0155,0.0619,0.0928,0.0155,0.0619,0.0155,0,0.0387,0.0232,0.0309,0.0309,0.0232,0,0.0077,0.0232,0,0.0155,0.0077,0.0155,0.0232,0.0155,0.0232,0.0155,0.0077,0.0155,0.0232,0.0232,0.0077,0.0077,0,0.0077,0.0077,0,0.0155,0.0464,0.0232,0.0077,0.0155,0.0232,0.1237,0,0,0,0.0232,0,0.0773,0,0,0,0.0232,0,0.0696,0.0309,0.0155,0.0155,0.0155,0.0155,0.0077,0.0155,0.0077
CT12_TC,0.0131,0.0525,0.0394,0,0.0131,0.0131,0,0,0.0263,0.0657,0,0,0.0657,0.0263,0.0263,0,0,0.0263,0.0657,0.0131,0,0.0131,0.0394,0.0131,0.0263,0.0657,0.0131,0.0131,0.0788,0.0131,0,0.0394,0.2232,0.0263,0.1313,0.0263,0.0263,0.0263,0,0.197,0,0.0263,0.0131,0.0131,0.0131,0.1576,0.0131,0.0525,0.0525,0.0131,0.0263,0.2364,0,0.0394,0,0,0,0.0263,0.0394,0.0263
CT13_FC,0,0.0539,0.0404,0,0.0472,0.0067,0,0,0.0202,0.0135,0.0135,0.0067,0.0539,0.0337,0.027,0,0,0.0135,0.0067,0.0135,0.0135,0.0135,0.0202,0.0202,0.027,0.0674,0.0067,0.0135,0.0202,0,0.0067,0,0.1415,0,0.0674,0,0.0067,0.0404,0,0.2156,0,0.0876,0.0202,0.0067,0.0067,0.1752,0.0337,0.0135,0,0.0606,0.0135,0.1415,0.0337,0.0337,0,0.0135,0.0337,0.0337,0.027,0.0135
CT13_TC,0.0286,0.0401,0.0573,0.0115,0.0974,0.0057,0.0057,0.0401,0.0516,0.0172,0.0172,0.0573,0,0.0344,0.0458,0,0.0229,0.0172,0.0458,0.0229,0,0.0344,0.0057,0.0229,0.0172,0,0.0172,0.0401,0.0229,0.0229,0.0344,0.0344,0,0.0229,0,0.0401,0.0057,0.0401,0.0172,0.2979,0.1776,0.0286,0.0115,0.0057,0.0115,0.126,0.0401,0,0,0.0286,0.0344,0.1375,0.0286,0.1031,0.0057,0.0516,0.0172,0.0115,0.0573,0.0115
CT15_TC,0,0,0.0192,0,0.0575,0.0575,0,0.0192,0,0.0192,0,0,0.0384,0.0959,0,0,0,0,0.0192,0.0384,0,0.0575,0.0192,0.0384,0.0192,0.0767,0,0,0.0192,0.0192,0,0,0.1726,0.0384,0.0384,0,0,0,0.0192,0.0384,0.0575,0.0575,0,0,0,0.0192,0.0384,0,0.0192,0,0,0.0575,0.0192,0,0,0.0384,0,0,0.0575,0.0192
CT16_FC,0,0.0441,0.0587,0.0294,0.0441,0.0294,0,0.0441,0.0441,0.0294,0.0441,0.0294,0.0734,0,0.0294,0.0147,0.0147,0.0147,0.0147,0,0.0147,0.0441,0.0147,0,0.0441,0.1616,0.0734,0,0.0294,0,0.0294,0.0294,0,0.0587,0,0.0294,0,0.0294,0.0147,0.3231,0.1762,0.0734,0,0.0147,0,0.0587,0,0,0.0147,0.0294,0,0.1469,0.0294,0.0441,0.0294,0,0.0734,0.0294,0.0294,0.0294
CT16_TC,0,0.04,0,0.016,0.056,0.016,0.016,0.024,0.056,0.048,0.048,0.0721,0.1681,0.0881,0.056,0.024,0.024,0,0.016,0.032,0.008,0.008,0.016,0.008,0.016,0.0721,0.032,0.0801,0.04,0.04,0.04,0.0801,0,0.064,0,0.04,0.024,0.04,0.032,0.2402,0.3282,0.1121,0.008,0.032,0,0.2082,0.04,0.056,0.048,0.1041,0.0721,0.2402,0.024,0.04,0.024,0.0721,0.024,0.048,0.04,0.032
CT17_FC,0,0.0558,0.093,0.0186,0,0,0,0,0.0186,0,0,0,0.0186,0,0.0372,0,0.0186,0.0186,0,0,0.0186,0.0558,0.0558,0,0,0.0186,0.0372,0.0186,0.1115,0,0.0186,0.0186,0,0,0.0372,0,0.0186,0.0186,0.0186,0.1487,0.1115,0.0372,0.0372,0.0372,0.0372,0.2789,0,0.0186,0.0558,0,0,0.2045,0.093,0,0,0,0.0372,0.0186,0,0
CT18_TC,0,0.0483,0,0.0121,0.0724,0.0121,0.0604,0.0241,0,0,0.0241,0,0.2414,0.0724,0,0.0121,0,0.0241,0.0121,0.0483,0.0121,0,0.0241,0,0,0.0966,0.0121,0.0241,0.0121,0.0483,0.0241,0.0483,0,0.0604,0.1086,0.0483,0.0121,0.0362,0.0241,0.169,0.1449,0.0362,0.0121,0,0.0241,0.0845,0.0241,0,0,0.0362,0.0483,0.1449,0,0.0724,0.0121,0.0845,0.1086,0,0.0241,0
CT19_FC,0.0238,0.0833,0.0714,0,0.0476,0,0.0238,0.0357,0.0476,0.0119,0.0119,0.1189,0.0952,0.0476,0.0595,0,0.0119,0,0.0357,0,0,0.0238,0,0.0476,0.0119,0.0357,0.0119,0.0476,0.0595,0.0595,0.0595,0,0.0952,0.0476,0,0,0,0.0476,0.0119,0.1427,0,0.0238,0,0.0238,0.0357,0.0595,0.0238,0.0119,0,0.0238,0.0119,0.1665,0.0357,0.0357,0.0119,0.0833,0.0238,0.0476,0.0357,0
CT20_FC,0.0131,0.0261,0,0.0131,0.0261,0.0131,0.0131,0.0261,0.0131,0.0522,0.0131,0.0392,0.0784,0,0.0131,0.0261,0.0261,0,0.0131,0.0131,0,0,0.0261,0.0261,0.0392,0.0914,0.0131,0.0131,0,0.0131,0,0.0261,0.0784,0,0.0392,0,0.0131,0.0261,0.0261,0.209,0.0653,0.0131,0.0522,0,0,0.1437,0,0,0,0.0392,0,0.1045,0.0392,0.0392,0.0131,0.0131,0.0653,0.0131,0.0131,0.0261
CT20_TC,0,0,0.0996,0,0.0498,0,0.0249,0,0,0.0249,0.0249,0,0.0249,0.0498,0.0249,0,0,0,0.0498,0,0.0498,0.0249,0,0,0.0249,0.1493,0.0498,0,0,0.0249,0,0,0,0.0498,0.0249,0.0498,0,0.0498,0.0249,0.1991,0.0747,0.0747,0.0249,0,0,0.0747,0.0249,0.0249,0,0.0249,0,0.0747,0,0.0498,0,0.0747,0.0498,0,0.0249,0.0249
CT22_TC,0.0374,0.0561,0,0,0.0374,0,0.0374,0,0.0561,0.0374,0.0374,0.0374,0.1683,0,0.0374,0.0561,0,0,0.0374,0,0.0187,0.0187,0.1309,0.0374,0.0561,0,0,0.0748,0.0748,0.0748,0.0374,0,0.8414,0.0561,0,0.0374,0.0374,0.0748,0.0187,0.6918,0.9723,0.1683,0.0374,0.0748,0.0561,0.5983,0.0374,0.0374,0.0748,0.0935,0.0748,0.2992,0.0187,0,0.0374,0.0561,0.0935,0,0.1122,0.0374
CT23_FC,0.0314,0.0942,0,0.0314,0.0314,0.0314,0.0314,0.0314,0.0785,0.0157,0.0157,0.0314,0,0.0628,0.0314,0,0.0157,0.0157,0.0314,0.0157,0.0314,0.0157,0.1414,0.0314,0.0157,0.0471,0.0157,0.0628,0.0314,0.0628,0.0628,0.0785,0,0,0,0.0628,0,0.0157,0.0471,0.3455,0.7696,0.1414,0.0628,0.0628,0.0785,0.377,0.0314,0.0157,0,0.2042,0.0628,0.2199,0.0157,0,0.0157,0.0314,0.0471,0.0157,0.0628,0.0471
CT24_FC,0.0331,0.1102,0.1212,0.011,0.0441,0.011,0.022,0.011,0.0441,0.0331,0.022,0.0551,0,0.0331,0.011,0,0,0.022,0.0331,0.011,0.011,0.011,0.0882,0,0.0331,0.0441,0.011,0.1212,0.1873,0.0331,0.0331,0.0441,0,0.0441,0.0551,0.0551,0,0.022,0.0551,0.5731,0,0.2094,0.022,0.022,0.0331,0.7824,0,0.0331,0.0771,0.1102,0,0.2204,0.0551,0.0551,0.011,0.0771,0.0551,0.011,0.0771,0.0331
CT25_TC,0.0049,0.0198,0,0.0148,0.0297,0,0.0198,0.0099,0.0247,0.0198,0.0148,0.0346,0,0.0396,0.0297,0.0049,0.0049,0.0049,0.0247,0.0049,0.0099,0.0148,0.0247,0.0099,0,0.0247,0.0148,0.0148,0.0297,0.0148,0.0247,0.0247,0.0841,0,0,0,0.0148,0.0148,0.0099,0.1286,0.0445,0.0247,0,0,0,0.0495,0.0049,0.0049,0.0297,0.0049,0.0049,0.0841,0.0247,0.0148,0.0099,0.0049,0.0148,0.0148,0.0099,0
CT26_FC,0.028,0.056,0.028,0,0.042,0,0.042,0.014,0.042,0.014,0.028,0,0.028,0,0.028,0.014,0.014,0.014,0.042,0,0.014,0,0.014,0,0,0.056,0,0.014,0.028,0.028,0,0.028,0.1679,0,0.056,0.014,0,0,0.028,0.0979,0,0.014,0,0,0.014,0.1539,0.042,0,0.014,0,0.0979,0.07,0.014,0.042,0,0,0.042,0,0.028,0
CT26_TC,0.0412,0.144,0,0,0.0412,0,0,0,0.0412,0.0412,0,0.0206,0.1235,0.0412,0.0206,0.0206,0,0,0,0.0412,0.0206,0,0.0412,0,0,0,0.0206,0.0206,0.0206,0.0412,0.0206,0.0206,0.2881,0,0.0823,0,0.0617,0.0412,0,0.144,0.3498,0.0206,0.0617,0.0412,0,0.3498,0,0.0206,0.1235,0.0617,0.1029,0.2469,0.0412,0,0.0412,0.0412,0.0206,0.0206,0,0
CT29_FC,0.014,0.0421,0,0,0.0842,0,0,0.0281,0.0562,0.014,0,0.0281,0,0.0562,0.014,0,0,0.0421,0.0562,0.014,0.014,0,0.0702,0.014,0.014,0.0562,0.0421,0.0702,0.1264,0.014,0.014,0,0.4072,0.014,0.1966,0.0562,0.0281,0.0562,0.0562,0.5756,0.6318,0.0842,0.0983,0.014,0.0281,0.4493,0.0281,0.014,0,0.0421,0.0842,0.3089,0.0281,0.0562,0.0281,0.0702,0.0421,0.014,0.1123,0.0421
CT29_TC,0,0.0427,0.0712,0,0,0,0.0285,0.0712,0,0.0285,0,0,0.0712,0.0285,0,0.0427,0.0142,0,0.0142,0.0285,0.0142,0.0142,0.0854,0.0142,0,0,0.0142,0.0427,0.0854,0.0854,0.0285,0.0142,0.4272,0.057,0.1282,0.0427,0,0.0285,0.0142,0.3845,0.2991,0.0712,0.0712,0.057,0.0427,0.2848,0.1567,0,0.0285,0.0854,0.0142,0.2136,0.0285,0.0142,0.0285,0.0854,0.0285,0.0142,0.057,0
CT30_TC,0,0.0582,0,0.0116,0.0698,0,0,0.0466,0.0582,0,0.0116,0.0233,0.1164,0.0466,0.0233,0,0.0116,0.0233,0.0233,0,0.0116,0.0116,0.0116,0.0116,0,0.1164,0.0233,0.0349,0.0116,0.0582,0.0116,0.0116,0,0.0349,0,0,0.0349,0.0349,0.0233,0.1746,0.0233,0.0233,0,0,0.0116,0,0.0116,0,0.0349,0.0349,0.0466,0.1047,0.0233,0.0349,0.0116,0.0698,0,0,0.0349,0.0116
CT32_FC,0.045,0.0787,0.0787,0.0225,0.0562,0.0112,0.0112,0.045,0.0787,0.045,0.0562,0.0337,0,0.0337,0.0675,0.0562,0,0.0112,0.0675,0.0337,0.0225,0.045,0.135,0.0112,0.0225,0.0675,0.0337,0.1237,0.1575,0.0562,0.0787,0.135,0.7537,0.045,0,0.045,0.0225,0.045,0.0112,0.8775,0.6975,0.09,0.0675,0.0787,0.09,0.6862,0,0.0787,0,0.1575,0.1012,0.3375,0.0337,0.0112,0.0112,0,0.0675,0,0.1125,0.0337
CT32_TC,0,0.0345,0,0,0.0689,0.0689,0.0172,0.0345,0,0.0517,0.0345,0.0862,0.2241,0,0.1379,0.0345,0,0,0.0345,0.0517,0.0172,0,0.0689,0.0689,0.0345,0.1379,0.0862,0.0345,0,0.0172,0.0172,0.0172,0.2241,0.1034,0.1034,0.0689,0.0345,0.0345,0.1034,0.9997,0.2585,0.1207,0.0517,0.0172,0.0517,0.1724,0,0.0172,0,0.1379,0.1034,0.1379,0,0.0345,0.0517,0.0345,0,0.0345,0.0689,0.0345
CT34_FC,0.0145,0,0.0869,0,0.0434,0.0145,0.0145,0,0.029,0,0.0145,0.0579,0.029,0.029,0,0.0579,0,0.0145,0.0434,0.0145,0,0.0145,0.029,0.029,0,0.0434,0.0145,0.2607,0.1738,0.0579,0,0.0145,0,0.0869,0.0869,0.029,0,0.0434,0.0145,0.1593,0.3331,0.1159,0.029,0.029,0,0.3476,0,0.029,0.0145,0.0434,0.0579,0.1303,0.029,0.029,0.0434,0.0724,0.0434,0,0.0145,0.029
CT35_FC,0,0.0436,0,0,0.0436,0,0.0291,0,0.1018,0.0145,0.0291,0.0291,0,0.0582,0.0436,0,0.0145,0,0.0291,0.0145,0.0291,0,0.0145,0,0,0.0291,0.0873,0,0.0145,0,0.0436,0.0436,0.1455,0.0436,0.1164,0.0291,0.0145,0.0145,0.0727,0.2036,0,0.0145,0,0,0,0.1164,0.0145,0.0145,0.0291,0.0291,0.0145,0.2182,0.0291,0.1164,0.0291,0,0.0582,0.0436,0.0291,0.0291
CT36_FC,0.0451,0.0226,0,0,0.0113,0.0226,0.0113,0,0,0,0,0,0.0564,0,0,0,0.0226,0.0226,0,0,0,0.0338,0,0.0113,0.0113,0.0338,0.0113,0.0113,0,0,0.0226,0.0113,0.1128,0,0.0338,0,0,0.0113,0.0113,0.0677,0,0,0,0,0,0.0451,0,0,0,0.0113,0.0338,0.0338,0.0113,0.0113,0,0.0338,0.0113,0.0226,0,0
CT37_FC,0,0.1077,0,0,0.0359,0.012,0,0,0.0239,0.0359,0.012,0.0359,0.0598,0.0239,0,0.0239,0,0.012,0.012,0.0239,0.0359,0.0239,0.0479,0.0359,0.012,0,0,0.0239,0.0838,0.0479,0.0239,0,0.2752,0.012,0.012,0,0.0239,0,0.0359,0.2632,0.2752,0.0479,0.0239,0.0239,0.012,0.2393,0,0.0239,0,0.0598,0.0239,0.1914,0.012,0.0479,0,0.0239,0.012,0.0239,0.0479,0.012
CT38_FC,0.011,0.022,0.011,0.022,0.011,0,0.0329,0,0.011,0.0329,0,0.011,0.0329,0.0439,0.011,0.011,0,0.022,0,0,0,0.0549,0.011,0.011,0,0.0549,0.0329,0.022,0.011,0,0.011,0,0.0659,0.022,0,0,0,0,0,0.0769,0.0769,0.0329,0,0,0,0.022,0,0.011,0.011,0.022,0,0.0659,0.022,0.022,0.011,0.022,0.022,0.0329,0.0329,0
CT6_FC,0.0198,0.0099,0,0.0099,0.0198,0,0.0198,0.0099,0.0397,0.0099,0.0198,0.0297,0,0.0397,0.0793,0.0099,0,0,0.0297,0.0198,0.0297,0.0099,0.0496,0.0099,0.0099,0.119,0.0297,0.0297,0.0099,0.0099,0.0297,0.0198,0.0595,0.0397,0.0099,0.0099,0.0198,0,0.0099,0.2776,0,0.0297,0.0297,0,0.0198,0.1091,0.0198,0,0.0297,0.0694,0.0297,0.1289,0.0297,0,0.0099,0.0099,0.0496,0.0297,0.0198,0.0198
CT7_FC,0.037,0.0462,0.0555,0,0.0462,0,0,0.0092,0.037,0.0185,0,0.0647,0.0555,0.0462,0.0555,0.0277,0.0185,0.0092,0.0092,0.0185,0.0277,0.0277,0,0,0,0,0,0.037,0.0185,0.0185,0.0462,0.0092,0.0647,0.0277,0.074,0.0185,0.0185,0.0185,0.037,0.2034,0.0925,0.037,0,0,0.0092,0.0462,0.0185,0.0277,0.0185,0.0185,0.0185,0.1664,0.0092,0.037,0.0092,0,0.074,0.0277,0.0555,0.0092
CT8_FC,0.0087,0.0696,0,0.0174,0.0174,0,0.0261,0.0261,0.0435,0.0261,0.0348,0.0261,0.0522,0.0087,0.0174,0.0782,0.0087,0.0174,0.0348,0.0174,0.0174,0.0348,0.0435,0,0.0348,0.0435,0,0.0261,0.0435,0.0087,0.0087,0.0435,0.3304,0.0696,0.1043,0,0.0087,0.0261,0.0348,0.3999,0,0.0782,0.0609,0.0348,0.0348,0.2695,0.2347,0.0174,0.0435,0.0522,0.0435,0.2,0.0261,0.0435,0.0174,0.0174,0.0174,0.0261,0.0261,0
CT8_TC,0.0464,0.0464,0,0.0186,0.1114,0.0186,0.0278,0.0186,0.0371,0.0186,0.0093,0,0,0.0743,0.0464,0,0.0278,0,0.0743,0.0186,0.0278,0.0186,0.0186,0.0186,0.0186,0.0464,0.0093,0.0278,0.0464,0.0371,0.0464,0.0278,0.065,0.0186,0.0557,0.0186,0.0093,0.0093,0.065,0.2599,0.1207,0,0.0278,0,0,0.13,0.0186,0.0186,0.065,0.0093,0.0464,0.1578,0.0371,0,0.0186,0.0464,0.0278,0.0093,0.0464,0
